id,probability
0.0,0.9999785828015704
1.0,7.137519969410778e-05
2.0,0.0008318901337258795
3.0,1.7840996659817646e-05
4.0,0.0015543107108789455
5.0,0.9999644242457624
6.0,0.9995396247780595
7.0,0.99993250553605
8.0,3.662576723905733e-05
9.0,7.820624527303818e-05
10.0,0.0001250769134155597
11.0,0.9998078556756557
12.0,0.005993241679272828
13.0,0.999949978056086
14.0,0.00011956212833787598
15.0,0.0010167530867190905
16.0,0.0001424043974401881
17.0,0.9997920123501092
18.0,0.998427570594434
19.0,0.9947753496922471
20.0,0.014153956280372621
21.0,0.9999821565433491
22.0,0.999724166602462
23.0,4.089733967643574e-05
24.0,0.02883035651954365
25.0,0.999929272873139
26.0,0.9577504990970139
27.0,2.8821129976345158e-05
28.0,0.9930481770306889
29.0,0.9996783134818832
30.0,0.9998491939636153
31.0,2.4044726668990933e-05
32.0,0.00028049684876729574
33.0,0.8190788011110705
34.0,0.0001023064302342026
35.0,0.9998199373613194
36.0,0.9998483440402114
37.0,0.9831057410738554
38.0,3.512228952087581e-05
39.0,0.9958531808873321
40.0,0.9999776149735432
41.0,0.9998368923449046
42.0,8.417019634948096e-05
43.0,0.9998538876598843
44.0,0.00013094068354296877
45.0,0.00964569157620519
46.0,0.9999242872652369
47.0,0.002675402748892023
48.0,0.00027373126734499574
49.0,0.00047549122924615416
50.0,0.0033157933987222094
51.0,0.00022231971265700338
52.0,0.0012502881822168477
53.0,0.9987922004366556
54.0,0.9997082969677503
55.0,0.00033999017852953835
56.0,9.956555850206415e-05
57.0,0.0001450667497451625
58.0,0.9995051674717307
59.0,0.9997142524845004
60.0,0.0003241883798009971
61.0,3.04789838594001e-05
62.0,0.03121268418679301
63.0,2.206292706249474e-05
64.0,0.0005254372426536374
65.0,0.9998938958393352
66.0,0.00033114484438778746
67.0,0.007773143143786055
68.0,0.9998678464235139
69.0,0.9997387565204395
70.0,1.6855951595415873e-05
71.0,6.601286391543756e-05
72.0,0.0003194538676324665
73.0,0.9989496700451993
74.0,0.0005309445816529177
75.0,0.029835919001193294
76.0,0.0005220040034807107
77.0,4.8824296263906615e-05
78.0,5.9881974491427065e-05
79.0,0.999905603096027
80.0,0.9999553117759487
81.0,0.000250175917315673
82.0,0.998229521281263
83.0,2.7341736404989316e-05
84.0,0.00010932756341457586
85.0,0.9998944347585139
86.0,1.1161859421554828e-05
87.0,0.00015926317024757522
88.0,0.9995216318454596
89.0,3.447059025067964e-05
90.0,0.003890486434511351
91.0,2.602379307269851e-05
92.0,0.9998594423005999
93.0,0.0001204963607994483
94.0,5.2298363093930844e-05
95.0,9.285252543758924e-05
96.0,0.9999810418173406
97.0,0.0001343262383902623
